Id,SalePrice
1461,120580.12
1462,156191.25
1463,186797.3
1464,195402.62
1465,178102.05
1466,175173.12
1467,174898.53
1468,167254.48
1469,187969.55
1470,131937.02
1471,192173.31
1472,92138.516
1473,98727.086
1474,149978.73
1475,130113.49
1476,326124.16
1477,243155.42
1478,296452.62
1479,239623.56
1480,370938.44
1481,306382.1
1482,204710.73
1483,171431.9
1484,173110.27
1485,181621.11
1486,190367.9
1487,319086.53
1488,243169.92
1489,208240.92
1490,223747.05
1491,185718.89
1492,89522.86
1493,183512.7
1494,276468.38
1495,285015.2
1496,245232.36
1497,179978.56
1498,159927.2
1499,159983.03
1500,149434.81
1501,177685.89
1502,151165.14
1503,278587.7
1504,227117.83
1505,226981.33
1506,181543.69
1507,233571.34
1508,196245.83
1509,168471.92
1510,148192.66
1511,145612.94
1512,170405.12
1513,141730.62
1514,175157.27
1515,208591.31
1516,161010.61
1517,156221.11
1518,130352.336
1519,216329.36
1520,134397.69
1521,138738.84
1522,162946.78
1523,112463.75
1524,123601.164
1525,127878.81
1526,120649.7
1527,100777.77
1528,130100.766
1529,150804.2
1530,173967.1
1531,104386.69
1532,98460.08
1533,138694.52
1534,118004.39
1535,155811.12
1536,108614.74
1537,65646.75
1538,178717.1
1539,200970.48
1540,83534.055
1541,150118.16
1542,147850.4
1543,224860.58
1544,76837.66
1545,100208.58
1546,127997.3
1547,137965.33
1548,138542.53
1549,111326.8
1550,145368.66
1551,112896.266
1552,136499.6
1553,156726.0
1554,111482.625
1555,167059.05
1556,81638.96
1557,102296.64
1558,86850.875
1559,56583.05
1560,133773.67
1561,147195.14
1562,127145.73
1563,124996.875
1564,152074.42
1565,144348.48
1566,233394.17
1567,78467.97
1568,223110.0
1569,151049.33
1570,126009.44
1571,128284.0
1572,154035.16
1573,249246.0
1574,112318.72
1575,223107.14
1576,219526.89
1577,198823.61
1578,150523.66
1579,146848.0
1580,181435.17
1581,156362.1
1582,127242.46
1583,317183.16
1584,232057.66
1585,141155.44
1586,75628.4
1587,93348.8
1588,159864.47
1589,98206.96
1590,132453.12
1591,96191.73
1592,118396.664
1593,133726.66
1594,150764.25
1595,114093.0
1596,231294.27
1597,194360.94
1598,209728.78
1599,184606.58
1600,175727.14
1601,72088.086
1602,115769.18
1603,72545.27
1604,282374.03
1605,251042.52
1606,164040.08
1607,174498.66
1608,210144.19
1609,192848.86
1610,153076.39
1611,135162.9
1612,170412.12
1613,154100.23
1614,124126.4
1615,87092.94
1616,66560.54
1617,89934.625
1618,126393.73
1619,136576.27
1620,146206.95
1621,128637.625
1622,146756.94
1623,276207.56
1624,215064.31
1625,124249.74
1626,168850.89
1627,187174.23
1628,266340.8
1629,176722.98
1630,337179.12
1631,229213.83
1632,260369.9
1633,175336.88
1634,187906.9
1635,184424.72
1636,150975.69
1637,181332.3
1638,201081.69
1639,180156.98
1640,269592.16
1641,180348.31
1642,228197.23
1643,230739.72
1644,224555.55
1645,179361.17
1646,156569.17
1647,159876.47
1648,133575.1
1649,138203.47
1650,115858.29
1651,126045.08
1652,91669.01
1653,92484.875
1654,154198.7
1655,137910.95
1656,147432.44
1657,152241.52
1658,148400.64
1659,135074.92
1660,146335.3
1661,364325.16
1662,361042.03
1663,363502.84
1664,306297.62
1665,303064.38
1666,324270.03
1667,342418.0
1668,334296.1
1669,296646.12
1670,341508.84
1671,273575.78
1672,350930.34
1673,293580.4
1674,254023.08
1675,180544.22
1676,183513.61
1677,223855.86
1678,304963.22
1679,352527.12
1680,325851.84
1681,249106.5
1682,305425.88
1683,172306.19
1684,166727.44
1685,176012.9
1686,166648.81
1687,173973.81
1688,182414.16
1689,186060.19
1690,185794.36
1691,178039.55
1692,263962.44
1693,171478.05
1694,185889.86
1695,168309.27
1696,275595.38
1697,177545.06
1698,333608.34
1699,329033.78
1700,243257.39
1701,258957.42
1702,256872.39
1703,261938.94
1704,294140.12
1705,223978.53
1706,299839.44
1707,215174.84
1708,212730.44
1709,255399.14
1710,215519.05
1711,256326.23
1712,243540.86
1713,275487.9
1714,227047.1
1715,209098.55
1716,188807.12
1717,177272.94
1718,137566.39
1719,197367.78
1720,245787.88
1721,172658.7
1722,133141.69
1723,152113.28
1724,211657.11
1725,244547.8
1726,189820.48
1727,155660.42
1728,153935.97
1729,165141.25
1730,159409.3
1731,123416.49
1732,132167.95
1733,119752.86
1734,115468.78
1735,131071.02
1736,115633.72
1737,324147.6
1738,214108.3
1739,277778.56
1740,253689.3
1741,200580.36
1742,179053.25
1743,169279.53
1744,309233.4
1745,219797.61
1746,208530.4
1747,221920.67
1748,236891.84
1749,150015.06
1750,126969.31
1751,242143.66
